日期,时间,合约代码,最新价,仓位,多/空,持仓成本价,市值,累计盈亏
2022-09-29,15:30:00,601318.SS,41.320,400,多,43.273,16528.000,-781.240
2022-09-29,15:30:00,600036.SS,33.150,500,多,35.163,16575.000,-1006.350
2022-09-30,15:30:00,000651.SZ,32.430,300,多,29.767,9729.000,799.020
2022-09-30,15:30:00,601318.SS,41.580,400,多,43.273,16632.000,-677.240
2022-09-30,15:30:00,600036.SS,33.650,500,多,35.163,16825.000,-756.350
2022-10-10,15:30:00,000651.SZ,32.200,300,多,29.767,9660.000,730.020
2022-10-10,15:30:00,601318.SS,41.430,400,多,43.273,16572.000,-737.240
2022-10-10,15:30:00,600036.SS,31.800,500,多,35.163,15900.000,-1681.350
2022-10-11,15:30:00,000651.SZ,31.940,300,多,29.767,9582.000,652.020
2022-10-11,15:30:00,601318.SS,41.200,400,多,43.273,16480.000,-829.240
2022-10-11,15:30:00,600036.SS,31.400,0,多,0.000,0.000,0.000
2022-10-12,15:30:00,000651.SZ,32.280,300,多,29.767,9684.000,754.020
2022-10-12,15:30:00,601318.SS,41.920,400,多,43.273,16768.000,-541.240
2022-10-13,15:30:00,000651.SZ,31.690,300,多,29.767,9507.000,577.020
2022-10-13,15:30:00,601318.SS,41.360,400,多,43.273,16544.000,-765.240
2022-10-14,15:30:00,000651.SZ,32.390,300,多,29.767,9717.000,787.020
2022-10-14,15:30:00,601318.SS,41.940,400,多,43.273,16776.000,-533.240
2022-10-17,15:30:00,000651.SZ,32.270,300,多,29.767,9681.000,751.020
2022-10-17,15:30:00,601318.SS,42.100,400,多,43.273,16840.000,-469.240
2022-10-18,15:30:00,000651.SZ,32.340,300,多,29.767,9702.000,772.020
2022-10-18,15:30:00,601318.SS,41.750,400,多,43.273,16700.000,-609.240
2022-10-19,15:30:00,000651.SZ,31.130,300,多,29.767,9339.000,409.020
2022-10-19,15:30:00,601318.SS,41.270,400,多,43.273,16508.000,-801.240
2022-10-20,15:30:00,000651.SZ,30.660,300,多,29.767,9198.000,268.020
2022-10-20,15:30:00,601318.SS,40.010,400,多,42.549,16004.000,-1015.640
2022-10-21,15:30:00,000651.SZ,30.600,300,多,29.767,9180.000,250.020
2022-10-21,15:30:00,601318.SS,39.650,400,多,42.549,15860.000,-1159.640
2022-10-24,15:30:00,000651.SZ,29.980,300,多,29.767,8994.000,64.020
2022-10-24,15:30:00,601318.SS,37.700,400,多,42.549,15080.000,-1939.640
2022-10-25,15:30:00,000651.SZ,29.800,300,多,29.767,8940.000,10.020
2022-10-25,15:30:00,601318.SS,37.720,0,多,0.000,0.000,0.000
2022-10-26,15:30:00,000651.SZ,30.020,300,多,29.767,9006.000,76.020
2022-10-27,15:30:00,000651.SZ,30.410,300,多,29.767,9123.000,193.020
2022-10-28,15:30:00,000651.SZ,30.190,300,多,29.767,9057.000,127.020
2022-10-31,15:30:00,000651.SZ,28.670,300,多,29.767,8601.000,-328.980
2022-11-01,15:30:00,000651.SZ,29.370,300,多,29.767,8811.000,-118.980
2022-11-01,15:30:00,600036.SS,28.190,300,多,28.208,8457.000,-5.400
2022-11-02,15:30:00,000651.SZ,29.550,300,多,29.767,8865.000,-64.980
2022-11-02,15:30:00,600036.SS,28.420,300,多,28.208,8526.000,63.600
2022-11-03,15:30:00,000651.SZ,29.290,300,多,29.767,8787.000,-142.980
2022-11-03,15:30:00,600036.SS,28.050,300,多,28.208,8415.000,-47.400
2022-11-04,15:30:00,000651.SZ,30.160,300,多,29.767,9048.000,118.020
2022-11-04,15:30:00,600036.SS,29.080,300,多,28.208,8724.000,261.600
2022-11-07,15:30:00,000651.SZ,30.270,300,多,29.767,9081.000,151.020
2022-11-07,15:30:00,600036.SS,29.160,300,多,28.208,8748.000,285.600
2022-11-08,15:30:00,000651.SZ,30.140,300,多,29.767,9042.000,112.020
2022-11-08,15:30:00,600036.SS,29.150,300,多,28.208,8745.000,282.600
2022-11-09,15:30:00,000651.SZ,30.260,300,多,29.767,9078.000,148.020
2022-11-09,15:30:00,600036.SS,29.180,300,多,28.208,8754.000,291.600
2022-11-10,15:30:00,000651.SZ,30.120,300,多,29.767,9036.000,106.020
2022-11-10,15:30:00,600036.SS,29.190,300,多,28.208,8757.000,294.600
2022-11-11,15:30:00,000651.SZ,31.110,300,多,29.767,9333.000,403.020
2022-11-11,15:30:00,600036.SS,31.240,300,多,28.208,9372.000,909.600
